#ID	名前	すれ違い石板	スタンプ
345	海底のゴースト	0	0
346	グラコス	0	0
349	グラコス5世	0	0
355	ボルンガ	0	0
356	やみのドラゴン	0	0
358	ヘルバオムのねっこ	0	0
359	ヘルバオム	0	0
361	ヘルワーム	0	0
362	メディルの使い	0	0
365	やみのまじん	0	0
366	ヘルクラウダー	0	0
368	ボトク	0	0
370	ガマデウス	0	0
372	バリクナジャ	0	0
373	オルゴ・デミーラ	0	0
381	ネンガル	0	0
382	オルゴ・デミーラ	0	0
391	神さま	0	0
393	ほのおのせいれい	0	0
394	だいちのせいれい	0	0
395	みずのせいれい	0	0
396	かぜのせいれい	0	0
450	デスバキューム	0	
452	スライムタワー	0	
453	ベビーサタン	0	
454	エレキスライム	0	
455	スライムマデュラ	0	
456	デスマーブル	0	
457	ドラキーマ	0	
458	あんこくきょうてん	0	
459	みわくのランプ	0	
460	ナッツシューター	0	
462	かえんムカデ	0	
463	リカントマムル	0	
464	アルミラージ	0	
465	ドラゴン	0	
466	ヘルゴースト	0	
467	リカント	0	
468	しりょうのきし	0	
469	スターキメラ	0	
471	グール	0	
472	しりょう	0	
474	がいこつへい	0	
475	ともしびこぞう	0	
476	サイクロプス	0	
477	せっかちどぐう	0	
478	マッスルオーガ	0	
479	ギガンテス	0	
480	レッドハンター	0	
481	キラーマシン	0	
482	ミステリードール	0	
483	アイアンクック	0	
484	キラーマジンガ	0	
485	アークデーモン	0	
486	ミニデーモン	0	
487	じごくのつかい	0	
488	タホドラキー	0	
489	スモールロード	0	
490	スケアリードッグ	0	
491	ヘルバンデット	0	
492	デスストーカー	0	
493	とうぞくこぞう	0	
494	ゴールデントーテム	0	
495	メタルブラザーズ	0	
498	ナイトメーア	0	
499	メタルバイター	0	
500	グラコスエビル	0	
501	キャタピラー	0	
502	いっかくうさぎ	0	
503	じんめんちょう	0	
504	グリズリー	0	
505	エリミネーター	0	
506	ギズモ	0	
507	ヒートギズモ	0	
508	フロストギズモ	0	
509	カンダタ	0	
510	キースドラゴン	0	
511	キラーリカント	0	
512	おばけねずみ	0	
513	メトロゴースト	0	
514	メタルパペット	0	
515	キラースコップ	0	
516	ストロングアニマル	0	
517	がいこつ剣士	0	
518	ベンガル	0	
519	しにがみのタル	0	
520	じんめんひさご	0	
521	じゃしんぞう	0	
522	アックスヘッド	0	
523	ベビーパンサー	0	
524	ボスプリズニャン	0	
525	ブラックキーパー	0	
526	リベリオン	0	
527	キラーパンサー	0	
528	いたずらもぐら	0	
529	わんぱくサタン	0	
530	にくきゅうまどう	0	
531	ピコヒーロー	0	
532	ピコマージ	0	
533	ピコファイター	0	
534	ピコプリースト	0	
535	チャンプ	0	
536	バトルレックス	0	
537	ダースドラゴン	0	
538	ギガントブラッド	0	
539	ウォンテッドヘビー	0	
540	しゃくねつりゅう	0	
541	ファーラット	0	
543	メタルスコーピオン	0	
545	えだきりあくま	0	
546	ヘルバーバー	0	
547	キラーマシン2	0	
548	ガチャコッコ	0	
549	ベテラン兵	0	
550	マシンジェネラル	0	
551	ゾンビーミラー	0	
552	メタルスラッシャー	0	
553	バロックトーテム	0	
554	いしにんぎょう	0	
555	スライムダーク	0	
556	やみのしょくだい	0	
557	影の騎士	0	
558	ブラックボトル	0	
559	くらやみにゅうどう	0	
560	デッドセーラー	0	
561	デスパイレーツ	0	
562	がいこつ	0	
563	バラクーダ	0	
565	パンプキンおじさん	0	
566	ガップリン	0	
567	オニオーン	0	
568	オベルジーヌ	0	
569	たまねぎマン	0	
570	エビルアップル	0	
573	グレイビーポット	0	
574	ゴースト	0	
575	ドラキー	0	
576	おばけキャンドル	0	
577	ホワイトスピリット	0	
578	おおねずみ	0	
579	メガヒーロー	0	
580	メガマージ	0	
581	メガファイター	0	
582	メガプリースト	0	
583	ようじゅつし	0	
584	メタルハンター	0	
585	じごくのしきょう	0	
586	ゴールドパペット	0	
587	しびれあげは	0	
589	あくまのねっこ	0	
590	ごうけつぐま	0	
591	ドワーフスミス	0	
593	ヘルジャッカル	0	
594	ベホイミスライム	0	
595	スウィートバッグ	0	
596	こどくなタイジュ	0	
597	スライムスノー	0	
598	ダイアパペット	0	
599	ケダモン	0	
600	プリズニャン	0	
